iter	Passed	Remaining
900	6668	732
901	6675	725
902	6683	717
903	6690	710
904	6699	703
905	6706	695
906	6714	688
907	6722	681
908	6730	673
909	6737	666
910	6745	658
911	6752	651
912	6760	644
913	6767	636
914	6775	629
915	6783	622
916	6790	614
917	6797	607
918	6804	599
919	6811	592
920	6818	584
921	6825	577
922	6832	569
923	6839	562
924	6846	555
925	6853	547
926	6861	540
927	6868	532
928	6875	525
929	6882	518
930	6888	510
931	6895	503
932	6902	495
933	6909	488
934	6916	480
935	6923	473
936	6930	465
937	6936	458
938	6943	451
939	6950	443
940	6957	436
941	6963	428
942	6970	421
943	6977	413
944	6984	406
945	6991	399
946	6998	391
947	7006	384
948	7013	376
949	7020	369
950	7027	362
951	7034	354
952	7041	347
953	7048	339
954	7054	332
955	7061	325
956	7067	317
957	7075	310
958	7081	302
959	7088	295
960	7096	287
961	7103	280
962	7110	273
963	7116	265
964	7124	258
965	7130	250
966	7137	243
967	7144	236
968	7151	228
969	7158	221
970	7165	214
971	7172	206
972	7179	199
973	7186	191
974	7193	184
975	7202	177
976	7208	169
977	7215	162
978	7223	154
979	7229	147
980	7237	140
981	7243	132
982	7250	125
983	7257	118
984	7264	110
985	7272	103
986	7278	95
987	7285	88
988	7292	81
989	7301	73
990	7308	66
991	7315	58
992	7322	51
993	7329	44
994	7336	36
995	7343	29
996	7350	22
997	7357	14
998	7364	7
999	7371	0
